label,txns,nodes,gini_flow,top1pct,gini_bet
事件前2 (W5),34519,13256,0.9750031467083093,0.8109885254196709,0.8621189453217488
事件前1 (W6),45961,16204,0.9764030201512188,0.8331893128141631,0.8619560192771845
★事件中 (W7),610228,550234,0.9993063265702831,0.9984325131328454,0.0
事件后1 (W8),51282,16055,0.9748359647990579,0.8248197405791962,0.8625713019549719
事件后2 (W9),55518,15721,0.967888796835221,0.7640183785778403,0.8685239489393624
